id,name,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,ideal_attack_angle_rate,avg_intercept_y_vs_plate,avg_intercept_y_vs_batter,avg_batter_x_position,competitive_swings,swing_length,pull_air_rate,EV,LA,barrel_per,hardhit_per,z_contact_per,wOBA
573262,"Yastrzemski, Mike",L,70.87385464619501,30.944348362390826,11.85340006725424,-1.990356278,0.66421895861148197597,1.3735351240340437,29.921105907472587,24.737107904382817,1498,7.51265771,0.25231175693527075,90.3,19,0.095,0.421,0.844,0.323
666160,"Moniak, Mickey",L,73.26588492,34.02383640875956,12.608157629629668,-3.789380654,0.49333333333333333333,3.478761337059837,29.305241944864562,31.316022453856178,1500,7.683785461,0.23963133640552994,88.8,18.8,0.112,0.386,0.808,0.318
701538,"Merrill, Jackson",L,72.07774861885801,37.252516129802636,6.996632066863626,1.3119551339544393,0.42231075697211155378,0.4190888680147995,26.189262329102164,28.20637741615404,1506,7.471919396,0.1408882082695253,89.8,14.5,0.115,0.421,0.872,0.343
592885,"Yelich, Christian",L,73.31682799,35.84306091151442,9.142921333812193,5.846046630484831,0.43443708609271523179,-0.392268727,27.237119762167865,29.191142201115255,1510,7.46532634,0.090804598,91.1,3.4,0.087,0.479,0.856,0.36
681481,"Carpenter, Kerry",L,71.28071921,34.19368194355181,16.173974036919248,1.7305867637490788,0.52248677248677248677,-7.312161487,24.69459535015113,29.462094387365816,1512,7.444893693,0.21225071225071224,90.5,16.9,0.13,0.442,0.851,0.356
668901,"Vientos, Mark",R,71.88401710700118,32.46395444819015,14.953365585817778,1.6914807784790162,0.59379128137384412153,2.352666079424635,29.239853063047125,29.352100716225657,1514,7.53288959,0.13509060955518945,91.4,10.9,0.114,0.479,0.787,0.313
683737,"Busch, Michael",L,70.04858132411069,37.438070123058345,16.276385412012868,0.053497428,0.45652173913043478261,1.9652696684672795,32.495286183582245,26.643337165520837,1518,7.184166785,0.20065789473684212,90.5,16,0.127,0.433,0.853,0.349
686469,"Pasquantino, Vinnie",L,72.20877440366968,29.821766528719866,9.627515518,-7.847321972,0.56422018348623853211,3.456736439,31.298751046243403,30.748020286595604,1526,7.403383349,0.22280887011615627,90.5,15.7,0.076,0.441,0.931,0.327
593871,"Polanco, Jorge",R,70.53281364351253,35.002943564031604,12.393125886404396,-8.566355271,0.51114023591087811271,4.907672777315598,32.73160993299029,27.12023672640011,1526,7.235364096,0.2678571428571429,89.1,18.2,0.104,0.409,0.85,0.317
691718,"Crow-Armstrong, Pete",L,71.56805356254083,35.138078797155096,14.488659178626927,-1.193368538,0.48722986247544204322,4.417697549872245,34.00960825528674,26.459460559132676,1527,7.199506031,0.23287671232876714,89.1,19.3,0.11,0.389,0.801,0.319
666182,"Bichette, Bo",R,69.79020239528786,37.99271083268587,4.7217700406307035,0.8733062297012633,0.35078534031413612565,-3.527517996,25.173396539637448,24.725074789143946,1528,7.263828172,0.11980676328502415,90.3,7.3,0.084,0.458,0.907,0.322
660688,"Ruiz, Keibert",R,66.29350894908605,32.94702583631572,9.951739728950376,-10.9848148,0.55678851174934725849,4.065325673038227,37.400913519912415,25.350938016165983,1532,7.066358453,0.23667570009033423,86.4,16.1,0.041,0.291,0.937,0.285
680977,"Donovan, Brendan",L,69.37771476531954,30.18008054769524,7.7132895731363345,1.2856339515324273,0.48891786179921773142,-1.431533469,25.921106675803625,27.743913416048173,1534,6.859938683,0.16007359705611776,89.1,12.1,0.065,0.389,0.928,0.34
694384,"Schanuel, Nolan",L,66.15485036458337,38.727989243755296,8.929075504721272,0.36601174996720337,0.46679687500000000000,-2.029943713,28.657338647316163,23.505347313854383,1536,6.609817493,0.17073170731707316,86.5,11.1,0.04,0.263,0.909,0.325
606115,"Arcia, Orlando",R,70.84116387768358,25.866423624790766,7.951419111066197,-2.731631035,0.62003903708523096942,1.5382651928401077,29.724621127990023,26.95847713012562,1537,7.841176565,0.1787280701754386,88,7,0.057,0.383,0.855,0.289
605141,"Betts, Mookie",R,69.49052921,34.69663494670864,9.889555961030727,-5.46799023,0.55476344782890473104,8.838237549213726,33.83228970584747,27.686438405299683,1543,7.026664128,0.24412751677852348,90.5,20.3,0.086,0.417,0.935,0.374
665750,"Taveras, Leody",R,71.25848906,31.908690013597802,6.159539208,-4.234371407,0.37968952134540750323,1.624622183898801,31.671891542220038,28.23670211407345,1546,7.413350039,0.13429522752497228,89.4,13.5,0.065,0.383,0.864,0.29
694192,"Chourio, Jackson",R,73.50517464056468,26.61118543563467,7.228054484929602,2.3039894538355443,0.57573812580231065469,3.5383298738224416,28.322840407973562,29.776372200953404,1558,7.455667869,0.14246575342465756,88.9,9.4,0.077,0.421,0.869,0.332
671277,"García Jr., Luis",L,71.89956252866249,29.35141303032176,10.283920587624815,0.025766456,0.61719745222929936306,3.4428276010216696,31.697053987923486,29.181232589839496,1570,7.326409783,0.10335195530726254,89,7,0.074,0.405,0.905,0.31
593428,"Bogaerts, Xander",R,71.12810917460308,31.630603189036666,9.813434716958493,-4.512075904,0.52698412698412698413,16.690464319617053,33.474724348068555,29.13722043534714,1575,7.224976285,0.14729370008873116,88.2,9.5,0.055,0.349,0.89,0.323
621493,"Ward, Taylor",R,69.69848966,31.543860509852365,9.549771412080446,-1.299287781,0.53768207726409119696,1.152853833214603,32.40714481161858,26.894191547940288,1579,7.082361381,0.16855087358684484,90.7,17.1,0.117,0.422,0.875,0.327
686217,"Frelick, Sal",L,67.20117058,28.88288639159631,6.630456556252997,-0.226557855,0.46042713567839195980,-3.761101778,25.46451815765059,28.525468259517197,1592,7.009583228,0.14469078179696615,84.1,9.9,0.019,0.228,0.932,0.31
666139,"Lowe, Josh",L,73.15048652446683,36.16127505501361,7.840719296001912,-0.229815839,0.45796737766624843162,8.127460233647433,31.049535067084435,30.519396161614324,1594,7.204240998,0.1522633744855967,89.8,14,0.097,0.425,0.818,0.327
663697,"India, Jonathan",R,71.74630541692784,28.901675933421597,8.626909659908806,-2.468785762,0.53855799373040752351,0.7787432795451117,29.88081603638036,27.65104786013132,1595,7.234456079,0.1899335232668566,88.4,15.1,0.072,0.373,0.878,0.323
592663,"Realmuto, J.T.",R,73.05370518125007,35.33496517663979,13.912579648157237,1.6853358772855354,0.52062500000000000000,-3.129306298,27.890965381266486,27.811172850753955,1600,7.626329144,0.1602787456445993,89.7,12.2,0.102,0.445,0.858,0.322
663656,"Tucker, Kyle",L,72.01083956304612,35.39037382895585,11.033516049872675,-7.667730794,0.47440699126092384519,-2.130715984,27.157521748063733,29.51295521489658,1602,7.54382295,0.2463199214916585,90.5,17.4,0.113,0.437,0.889,0.384
671732,"Butler, Lawrence",L,73.97841218012424,31.200161670683496,5.555169994,0.16673467657969934,0.41428571428571428571,2.8939162434154704,29.150899881253093,30.815238523361288,1610,7.075656059,0.1326219512195122,90.7,10.2,0.099,0.448,0.826,0.326
